lab_categoria,variable,pregunta,Codigo,sub_cat,Desglose,Porcentaje
Sí acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",1,Nacional,Nacional,29
No acudí a PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",2,Nacional,Nacional,62
No hay módulo de PrevenIMSS,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",3,Nacional,Nacional,5
No sé/No quiero responder,preven,"Si en la unidad médica a la que asistió hay módulo PrevenIMSS, ¿acudió a solicitar atención a dicho servicio en su última visita a la unidad (además de su cita con su médico)?",99,Nacional,Nacional,4
Excelente,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",1,Nacional,Nacional,33
Buena,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",2,Nacional,Nacional,44
Regular,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",3,Nacional,Nacional,15
Mala,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",4,Nacional,Nacional,4
Pésima,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",5,Nacional,Nacional,3
No sé/No quiero responder,preven_cal,"En general, ¿cómo califica la calidad de la atención que recibió en el módulo de PrevenIMSS?",99,Nacional,Nacional,1
Sí,citapre,¿Programó su consulta mediante cita?,1,Nacional,Nacional,88
No,citapre,¿Programó su consulta mediante cita?,2,Nacional,Nacional,12
No sé/No quiero responder,citapre,¿Programó su consulta mediante cita?,99,Nacional,Nacional,0
1 a 15 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,1,Nacional,Nacional,19
16 a 30 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,2,Nacional,Nacional,36
31 a 45 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,3,Nacional,Nacional,18
46 a 60 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,4,Nacional,Nacional,12
Más de 60 minutos,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,5,Nacional,Nacional,16
No sabe/No responde,tempcita_x,¿Cuánto tiempo esperó a partir del horario de su cita programada hasta que recibió consulta?,9999999,Nacional,Nacional,0
Muy corto,tempcitacalif,¿Cómo considera el tiempo de espera a partir del horario de su cita programada hasta que recibió consulta?,1,Nacional,Nacional,2
Corto,tempcitacalif,¿Cómo considera el tiempo de espera a partir del horario de su cita programada hasta que recibió consulta?,2,Nacional,Nacional,7
Adecuado,tempcitacalif,¿Cómo considera el tiempo de espera a partir del horario de su cita programada hasta que recibió consulta?,3,Nacional,Nacional,26
Largo,tempcitacalif,¿Cómo considera el tiempo de espera a partir del horario de su cita programada hasta que recibió consulta?,4,Nacional,Nacional,41
Muy largo,tempcitacalif,¿Cómo considera el tiempo de espera a partir del horario de su cita programada hasta que recibió consulta?,5,Nacional,Nacional,24
No sé/No quiero responder,tempcitacalif,¿Cómo considera el tiempo de espera a partir del horario de su cita programada hasta que recibió consulta?,99,Nacional,Nacional,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Nacional,Nacional,45
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Nacional,Nacional,27
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Nacional,Nacional,10
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Nacional,Nacional,8
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Nacional,Nacional,11
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Nacional,Nacional,0
Muy corto,tempcitacalif_2,¿Cómo considera el tiempo de espera desde que  entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Nacional,Nacional,10
Corto,tempcitacalif_2,¿Cómo considera el tiempo de espera desde que  entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Nacional,Nacional,13
Adecuado,tempcitacalif_2,¿Cómo considera el tiempo de espera desde que  entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Nacional,Nacional,40
Largo,tempcitacalif_2,¿Cómo considera el tiempo de espera desde que  entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Nacional,Nacional,24
Muy largo,tempcitacalif_2,¿Cómo considera el tiempo de espera desde que  entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Nacional,Nacional,13
No sé/No quiero responder,tempcitacalif_2,¿Cómo considera el tiempo de espera desde que  entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,99,Nacional,Nacional,0
Sí,infoenferm,¿El(la) médico(a) que le atendió le explicó claramente cuál era su estado de salud o padecimiento actual?,1,Nacional,Nacional,61
No,infoenferm,¿El(la) médico(a) que le atendió le explicó claramente cuál era su estado de salud o padecimiento actual?,2,Nacional,Nacional,14
Ya conocía mi estado o padecimiento actual,infoenferm,¿El(la) médico(a) que le atendió le explicó claramente cuál era su estado de salud o padecimiento actual?,97,Nacional,Nacional,25
No sé/No quiero responder,infoenferm,¿El(la) médico(a) que le atendió le explicó claramente cuál era su estado de salud o padecimiento actual?,99,Nacional,Nacional,1
Excelente,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",1,Nacional,Nacional,26
Bueno,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",2,Nacional,Nacional,46
Regular,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",3,Nacional,Nacional,19
Malo,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",4,Nacional,Nacional,6
Pésimo,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",5,Nacional,Nacional,4
No sé/No quiero responder,btratou,"En general, ¿cómo califica el trato que recibió en la unidad médica en su última visita?",99,Nacional,Nacional,0
Sí,confmed_e,¿Considera que el(la) médico(a) está bien capacitado(a) para atender a un paciente con una situación como la de usted?,1,Nacional,Nacional,81
No,confmed_e,¿Considera que el(la) médico(a) está bien capacitado(a) para atender a un paciente con una situación como la de usted?,2,Nacional,Nacional,13
No sé/No quiero responder,confmed_e,¿Considera que el(la) médico(a) está bien capacitado(a) para atender a un paciente con una situación como la de usted?,99,Nacional,Nacional,6
Todos,totmed,"De las medicinas que acudió a surtir, ¿cuántos medicamentos le dieron en la farmacia de la unidad?",1,Nacional,Nacional,58
Algunos,totmed,"De las medicinas que acudió a surtir, ¿cuántos medicamentos le dieron en la farmacia de la unidad?",2,Nacional,Nacional,40
Ninguno,totmed,"De las medicinas que acudió a surtir, ¿cuántos medicamentos le dieron en la farmacia de la unidad?",3,Nacional,Nacional,1
No sé/No quiero responder,totmed,"De las medicinas que acudió a surtir, ¿cuántos medicamentos le dieron en la farmacia de la unidad?",99,Nacional,Nacional,1
Sí,covid_diag_d,¿Usted ha sido diagnosticado con Covid-19?,1,Nacional,Nacional,8
No,covid_diag_d,¿Usted ha sido diagnosticado con Covid-19?,2,Nacional,Nacional,91
No sé/No quiero responder,covid_diag_d,¿Usted ha sido diagnosticado con Covid-19?,99,Nacional,Nacional,1
Sí,covid_diagb_h,¿Fue usted internado en un hospital del IMSS?,1,Nacional,Nacional,8
No,covid_diagb_h,¿Fue usted internado en un hospital del IMSS?,2,Nacional,Nacional,92
No sé/No quiero responder,covid_diagb_h,¿Fue usted internado en un hospital del IMSS?,99,Nacional,Nacional,0
Sí,covid_diag_fd,"En su hogar, ¿algún familiar ha sido diagnosticado con Covid-19?",1,Nacional,Nacional,16
No,covid_diag_fd,"En su hogar, ¿algún familiar ha sido diagnosticado con Covid-19?",2,Nacional,Nacional,84
No sé/No quiero responder,covid_diag_fd,"En su hogar, ¿algún familiar ha sido diagnosticado con Covid-19?",99,Nacional,Nacional,1
Sí,covid_diagb_fh,¿Fue su familiar internado en un hospital del IMSS?,1,Nacional,Nacional,14
No,covid_diagb_fh,¿Fue su familiar internado en un hospital del IMSS?,2,Nacional,Nacional,86
No sé/No quiero responder,covid_diagb_fh,¿Fue su familiar internado en un hospital del IMSS?,99,Nacional,Nacional,0
Sí,covid_def,"En su hogar, ¿ha fallecido algún familiar por Covid-19?",1,Nacional,Nacional,14
No,covid_def,"En su hogar, ¿ha fallecido algún familiar por Covid-19?",2,Nacional,Nacional,86
No sé/No quiero responder,covid_def,"En su hogar, ¿ha fallecido algún familiar por Covid-19?",99,Nacional,Nacional,0
"Sí, he acudido más",covid_cron,"En caso de tener una enfermedad crónica (por ejemplo diabetes o hipertensión) y como medida de prevención por el COVID, ¿ha cambiado la frecuencia de sus visitas a su UMF?",1,Nacional,Nacional,3
"Sí, he acudido menos",covid_cron,"En caso de tener una enfermedad crónica (por ejemplo diabetes o hipertensión) y como medida de prevención por el COVID, ¿ha cambiado la frecuencia de sus visitas a su UMF?",2,Nacional,Nacional,33
No ha cambiado,covid_cron,"En caso de tener una enfermedad crónica (por ejemplo diabetes o hipertensión) y como medida de prevención por el COVID, ¿ha cambiado la frecuencia de sus visitas a su UMF?",3,Nacional,Nacional,43
No tengo una enfermedad crónica,covid_cron,"En caso de tener una enfermedad crónica (por ejemplo diabetes o hipertensión) y como medida de prevención por el COVID, ¿ha cambiado la frecuencia de sus visitas a su UMF?",4,Nacional,Nacional,20
No sé/No quiero responder,covid_cron,"En caso de tener una enfermedad crónica (por ejemplo diabetes o hipertensión) y como medida de prevención por el COVID, ¿ha cambiado la frecuencia de sus visitas a su UMF?",99,Nacional,Nacional,1
Muy interesado(a),covid_telem,¿Qué tan interesado(a) estaría en recibir atención con su médico(a) para su padecimiento crónico a través de video consulta?,1,Nacional,Nacional,28
Interesado(a),covid_telem,¿Qué tan interesado(a) estaría en recibir atención con su médico(a) para su padecimiento crónico a través de video consulta?,2,Nacional,Nacional,32
Me es indiferente,covid_telem,¿Qué tan interesado(a) estaría en recibir atención con su médico(a) para su padecimiento crónico a través de video consulta?,3,Nacional,Nacional,7
Poco Interesado(a),covid_telem,¿Qué tan interesado(a) estaría en recibir atención con su médico(a) para su padecimiento crónico a través de video consulta?,4,Nacional,Nacional,17
Nada interesado(a),covid_telem,¿Qué tan interesado(a) estaría en recibir atención con su médico(a) para su padecimiento crónico a través de video consulta?,5,Nacional,Nacional,15
No sé/No quiero responder,covid_telem,¿Qué tan interesado(a) estaría en recibir atención con su médico(a) para su padecimiento crónico a través de video consulta?,99,Nacional,Nacional,2
Sí,covid_rr,"Durante la contingencia COVID, ¿le han dado Receta Resurtible?",1,Nacional,Nacional,48
No,covid_rr,"Durante la contingencia COVID, ¿le han dado Receta Resurtible?",2,Nacional,Nacional,51
No sé/No quiero responder,covid_rr,"Durante la contingencia COVID, ¿le han dado Receta Resurtible?",99,Nacional,Nacional,1
Sí,covid_rr2,"Antes de que se venciera su Receta Resurtible, ¿tuvo que acudir a consulta con su médico familiar?",1,Nacional,Nacional,27
No,covid_rr2,"Antes de que se venciera su Receta Resurtible, ¿tuvo que acudir a consulta con su médico familiar?",2,Nacional,Nacional,69
"No aplica, aún no se vence mi Receta Resurtible",covid_rr2,"Antes de que se venciera su Receta Resurtible, ¿tuvo que acudir a consulta con su médico familiar?",3,Nacional,Nacional,3
No sé/No quiero responder,covid_rr2,"Antes de que se venciera su Receta Resurtible, ¿tuvo que acudir a consulta con su médico familiar?",99,Nacional,Nacional,0
Sí fue cancelada,covid_esp,"En caso de que haya tenido alguna cita programada en consulta externa de especialidades, ¿fue cancelada su cita por la contingencia COVID?",1,Nacional,Nacional,36
No fue cancelada,covid_esp,"En caso de que haya tenido alguna cita programada en consulta externa de especialidades, ¿fue cancelada su cita por la contingencia COVID?",2,Nacional,Nacional,19
No tuve cita programada,covid_esp,"En caso de que haya tenido alguna cita programada en consulta externa de especialidades, ¿fue cancelada su cita por la contingencia COVID?",3,Nacional,Nacional,44
No sé/No quiero responder,covid_esp,"En caso de que haya tenido alguna cita programada en consulta externa de especialidades, ¿fue cancelada su cita por la contingencia COVID?",99,Nacional,Nacional,1
Sí fue suspendida,covid_ciru,"En caso de que haya tenido una cirugía programada, ¿se suspendió su cirugía por la contingencia COVID?",1,Nacional,Nacional,6
No fue suspendida,covid_ciru,"En caso de que haya tenido una cirugía programada, ¿se suspendió su cirugía por la contingencia COVID?",2,Nacional,Nacional,4
No tuve cirugía programada,covid_ciru,"En caso de que haya tenido una cirugía programada, ¿se suspendió su cirugía por la contingencia COVID?",3,Nacional,Nacional,88
No sé/No quiero responder,covid_ciru,"En caso de que haya tenido una cirugía programada, ¿se suspendió su cirugía por la contingencia COVID?",99,Nacional,Nacional,1
Sí,covid_sd,"Durante la contingencia COVID, ¿ha usado los servicios digitales del IMSS?",1,Nacional,Nacional,46
No,covid_sd,"Durante la contingencia COVID, ¿ha usado los servicios digitales del IMSS?",2,Nacional,Nacional,54
No sé/No quiero responder,covid_sd,"Durante la contingencia COVID, ¿ha usado los servicios digitales del IMSS?",99,Nacional,Nacional,1
Excelente,covid_calif,"En general, ¿cómo califica la calidad de los servicios digitales del IMSS que utilizó durante la contingencia COVID?",1,Nacional,Nacional,27
Buena,covid_calif,"En general, ¿cómo califica la calidad de los servicios digitales del IMSS que utilizó durante la contingencia COVID?",2,Nacional,Nacional,54
Regular,covid_calif,"En general, ¿cómo califica la calidad de los servicios digitales del IMSS que utilizó durante la contingencia COVID?",3,Nacional,Nacional,14
Mala,covid_calif,"En general, ¿cómo califica la calidad de los servicios digitales del IMSS que utilizó durante la contingencia COVID?",4,Nacional,Nacional,2
Pésima,covid_calif,"En general, ¿cómo califica la calidad de los servicios digitales del IMSS que utilizó durante la contingencia COVID?",5,Nacional,Nacional,1
No sé/No quiero responder,covid_calif,"En general, ¿cómo califica la calidad de los servicios digitales del IMSS que utilizó durante la contingencia COVID?",99,Nacional,Nacional,1
Sí,limp2,"¿Los baños contaban con jabón, papel higiénico y agua?",1,Nacional,Nacional,27
No,limp2,"¿Los baños contaban con jabón, papel higiénico y agua?",2,Nacional,Nacional,68
No sé/No quiero responder,limp2,"¿Los baños contaban con jabón, papel higiénico y agua?",99,Nacional,Nacional,5
Sí,e_protec,¿El personal portaba el equipo de protección?,1,Nacional,Nacional,88
No,e_protec,¿El personal portaba el equipo de protección?,2,Nacional,Nacional,9
No sé/No quiero responder,e_protec,¿El personal portaba el equipo de protección?,99,Nacional,Nacional,3
Excelente,cal1,"En general, ¿cómo califica la calidad de la atención que recibió en su última visita a la unidad médica, en septiembre de 2020, durante la actual contingencia COVID?",1,Nacional,Nacional,19
Buena,cal1,"En general, ¿cómo califica la calidad de la atención que recibió en su última visita a la unidad médica, en septiembre de 2020, durante la actual contingencia COVID?",2,Nacional,Nacional,52
Regular,cal1,"En general, ¿cómo califica la calidad de la atención que recibió en su última visita a la unidad médica, en septiembre de 2020, durante la actual contingencia COVID?",3,Nacional,Nacional,22
Mala,cal1,"En general, ¿cómo califica la calidad de la atención que recibió en su última visita a la unidad médica, en septiembre de 2020, durante la actual contingencia COVID?",4,Nacional,Nacional,5
Pésima,cal1,"En general, ¿cómo califica la calidad de la atención que recibió en su última visita a la unidad médica, en septiembre de 2020, durante la actual contingencia COVID?",5,Nacional,Nacional,2
No sé/No quiero responder,cal1,"En general, ¿cómo califica la calidad de la atención que recibió en su última visita a la unidad médica, en septiembre de 2020, durante la actual contingencia COVID?",99,Nacional,Nacional,1
Mujer,sexo_fin,,1,Nacional,Nacional,62
Hombre,sexo_fin,,2,Nacional,Nacional,38
18-25,edad_x,Edad,1,Nacional,Nacional,8
26-34,edad_x,Edad,2,Nacional,Nacional,11
35-44,edad_x,Edad,3,Nacional,Nacional,13
45-54,edad_x,Edad,4,Nacional,Nacional,19
55-64,edad_x,Edad,5,Nacional,Nacional,20
65 y más,edad_x,Edad,6,Nacional,Nacional,29
Muy satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",1,Nivel,Primer nivel,29
Satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",2,Nivel,Primer nivel,40
Ni satisfecho(a) ni insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",3,Nivel,Primer nivel,12
Insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",4,Nivel,Primer nivel,11
Muy insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",5,Nivel,Primer nivel,8
No sé/No quiero responder,sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",99,Nivel,Primer nivel,1
Muy satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",1,Nivel,Segundo nivel,22
Satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",2,Nivel,Segundo nivel,32
Ni satisfecho(a) ni insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",3,Nivel,Segundo nivel,11
Insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",4,Nivel,Segundo nivel,14
Muy insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",5,Nivel,Segundo nivel,20
No sé/No quiero responder,sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",99,Nivel,Segundo nivel,1
Muy satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",1,Nivel,Tercer nivel,39
Satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",2,Nivel,Tercer nivel,31
Ni satisfecho(a) ni insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",3,Nivel,Tercer nivel,7
Insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",4,Nivel,Tercer nivel,9
Muy insatisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",5,Nivel,Tercer nivel,14
No sé/No quiero responder,sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",99,Nivel,Tercer nivel,1
Problemas respiratorios,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,1,Nivel,Primer nivel,3
Enfermedades crónicas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,2,Nivel,Primer nivel,40
Embarazo,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,3,Nivel,Primer nivel,5
Salud mental,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,4,Nivel,Primer nivel,2
Acciones preventivas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,5,Nivel,Primer nivel,14
Sospecha COVID o COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,6,Nivel,Primer nivel,3
Trámite de incapacidad por COVID o sospecha de COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,7,Nivel,Primer nivel,1
Trámite de incapacidad por otro padecimiento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,8,Nivel,Primer nivel,3
Diabetes,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,9,Nivel,Primer nivel,1
Hipertensión/Enfermedades del corazón,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,10,Nivel,Primer nivel,2
Enfermedades del sistema digestivo/Dolor abdominal,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,11,Nivel,Primer nivel,1
"Revisión mensual, bimestral o trimestral",probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,12,Nivel,Primer nivel,8
Medicamento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,13,Nivel,Primer nivel,6
Lesiones físicas/Lesión física por accidente,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,14,Nivel,Primer nivel,2
Ginecología,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,15,Nivel,Primer nivel,0
Otro,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,998,Nivel,Primer nivel,7
No sé/No quiero responder,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,999,Nivel,Primer nivel,2
Problemas respiratorios,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,1,Nivel,Segundo nivel,4
Enfermedades crónicas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,2,Nivel,Segundo nivel,33
Embarazo,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,3,Nivel,Segundo nivel,7
Salud mental,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,4,Nivel,Segundo nivel,2
Acciones preventivas,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,5,Nivel,Segundo nivel,4
Sospecha COVID o COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,6,Nivel,Segundo nivel,8
Trámite de incapacidad por COVID o sospecha de COVID,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,7,Nivel,Segundo nivel,1
Trámite de incapacidad por otro padecimiento,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,8,Nivel,Segundo nivel,8
Diabetes,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,9,Nivel,Segundo nivel,0
Hipertensión/Enfermedades del corazón,probsal_xx,¿Cuál fue el motivo o problema de salud por el que acudió a la unidad médica en su última visita?,10,Nivel,Segundo nivel,1
